Program Name,Program Type,Sonic Boom/ Big Bet,Lead,Start Date,End Date,Fiscal Quarter,Goal,Working Group,Campaign,Industry,Additional Shared Services Support,Notes,Link to program doc
"Build Reliable and Production-Ready Agents Faster with Snowflake Cortex AI
",Webinar,,Julie Hoyt,2/26/2026,2/26,Q1,3000,AI & ML,Enterprise-ready Data Agents,,"MOPS, Design, Web",,FY27 Q1 Data Agents VHOL Project Timeline (AI/ML)
Power and Utilities Webinar,Webinar,Big Bet,Gloria Huang,2/26/2026,2/26,Q1,,Manufacturing,AI Data Cloud,Manufacturing,MOPS,,
Risk Management & Investment Analytics | InvestOps Webinar,Webinar,,Roger Erra,2/26/2026,2/26,Q1,300,Financial Services,Modernize Your Data Estate,Financial Services,"Design, Video, MOPS",,
Data For Breakfast,In Person Event,Sonic Boom,Thomas Pauly,3/1/2026,4/30,Q1,,,,,"MOPS, Design, Web",,
Trends Ebook - Financial Services,Content,,Roger Erra,3/1/2026,4/30,Q1,,Financial Services,AI Data Cloud,Financial Services,"MOPS, Design",,
Trends Ebook - Manufacturing,Content,,Gloria Huang,3/1/2026,4/30,Q1,,Manufacturing,AI Data Cloud,Manufacturing,MOPS,,
Trends Ebook - Retail,Content,,Gloria Huang,3/1/2026,4/30,Q1,,Retail & CPG,AI Data Cloud,Retail & CPG,MOPS,,
Webinar: Mobile World Congress,Webinar,,Lydia Luke,3/1/2026,,Q1,,Media & Entertainment,AI Data Cloud,Media & Entertainment,"MOPS, Design, Video",,
Semantic Views Autopilot VHOL ,Virtual Event,,Gayatri Kapur,3/3/2026,3/3,Q1,1000,Analytics,Modernize Your Data Estate,,,,
Demo: Data & AI Sharing for Modern Analytics & AI,Webinar,,Abbie Fontanilla,3/4/2026,3/4,Q1,,Applications & Collaboration,Modernize Your Data Estate,,"MOPS, Video, Design, Web",,
Data Cloud Demo,Webinar,,Abbie Fontanilla,3/5/2026,3/5,Q1,,Platform,AI Data Cloud,,,,
Ebook: Enterprise-Ready Data Products for Modern Analytics and AI,Content,,Abbie Fontanilla,3/9/2026,4/30,Q1,,Applications & Collaboration,Modernize Your Data Estate,,"MOPS, Design, Web",,
HIMSS,In Person Event,,,3/9/2026,3/12,Q1,,,,Healthcare & Life Sciences,MOPS,,
Interactive Analytics VHOL,Virtual Event,,Gayatri Kapur,3/10/2026,3/10,Q2,500,Analytics,Modernize Your Data Estate,,,,
InvestOps,In Person Event,,,3/10/2026,3/11,Q1,,,,Financial Services,MOPS,,
The Future of AI and Interoperability in Healthcare Survey Report,Content,,Gayatri Kapur,3/10/2026,4/30,Q1,500,Healthcare & Life Sciences,Modernize Your Data Estate,Healthcare & Life Sciences,Design,This report is based on a survey and follows a different format compared to our other reports. The report has more infograhics making it easier for the reader to retain key messaging.  ,
Real-time Snowpipe streaming,Webinar,,JC Quiambao,3/11/2026,3/11,Q1,1000,Data Engineering,Get Your Data AI Ready,,,,
